Participant,Condition,Event,x,y,id,size,second,name
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:19.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,1.85,0503,0,2022-02-09T15:13:22.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,3.3709,0.6139,0902,1,2022-02-09T15:13:22.000000Z,Active Mole
0,Test Condition 2,Mole Expired,3.3709,0.6139,0902,0,2022-02-09T15:13:24.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,3.3709,3.0861,0904,1,2022-02-09T15:13:24.000000Z,Active Mole
0,Test Condition 2,Mole Hit,3.3709,3.0861,0904,0,2022-02-09T15:13:26.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:26.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,1.85,0503,0,2022-02-09T15:13:29.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-3.3709,0.6139,0102,1,2022-02-09T15:13:29.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-3.3709,0.6139,0102,0,2022-02-09T15:13:31.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-3.3709,3.0861,0104,1,2022-02-09T15:13:31.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-3.3709,3.0861,0104,0,2022-02-09T15:13:34.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:34.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,1.85,0503,0,2022-02-09T15:13:36.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,-0.5011,0201,1,2022-02-09T15:13:36.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-2.706,-0.5011,0201,0,2022-02-09T15:13:38.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,2.706,-0.5011,0801,1,2022-02-09T15:13:39.000000Z,Active Mole
0,Test Condition 2,Mole Expired,2.706,-0.5011,0801,0,2022-02-09T15:13:41.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:41.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,1.85,0503,0,2022-02-09T15:13:43.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,4.2011,0205,1,2022-02-09T15:13:43.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-2.706,4.2011,0205,0,2022-02-09T15:13:46.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,2.706,4.2011,0805,1,2022-02-09T15:13:46.000000Z,Active Mole
0,Test Condition 2,Mole Expired,2.706,4.2011,0805,0,2022-02-09T15:13:48.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:48.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,1.85,0503,0,2022-02-09T15:13:51.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,4.2011,0505,1,2022-02-09T15:13:51.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,4.2011,0505,0,2022-02-09T15:13:53.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,-0.5011,0501,1,2022-02-09T15:13:53.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,-0.5011,0501,0,2022-02-09T15:13:55.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:13:56.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,1.85,0503,0,2022-02-09T15:13:57.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,3.3709,1.85,0903,1,2022-02-09T15:13:58.000000Z,Active Mole
0,Test Condition 2,Mole Hit,3.3709,1.85,0903,0,2022-02-09T15:14:00.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-3.3709,1.85,0103,1,2022-02-09T15:14:00.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-3.3709,1.85,0103,0,2022-02-09T15:14:02.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:14:03.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0,1.85,0503,0,2022-02-09T15:14:05.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,1.8916,1.85,0703,1,2022-02-09T15:14:05.000000Z,Active Mole
0,Test Condition 2,Mole Hit,1.8916,1.85,0703,0,2022-02-09T15:14:06.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-1.8916,0.6139,0302,1,2022-02-09T15:14:07.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-1.8916,0.6139,0302,0,2022-02-09T15:14:09.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,1.8916,4.2011,0705,1,2022-02-09T15:14:10.000000Z,Active Mole
0,Test Condition 2,Mole Expired,1.8916,4.2011,0705,0,2022-02-09T15:14:12.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-3.3709,1.85,0103,1,2022-02-09T15:14:12.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-3.3709,1.85,0103,0,2022-02-09T15:14:14.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,2.706,0.6139,0802,1,2022-02-09T15:14:15.000000Z,Active Mole
0,Test Condition 2,Mole Hit,2.706,0.6139,0802,0,2022-02-09T15:14:16.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-1.8916,-0.5011,0301,1,2022-02-09T15:14:17.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-1.8916,-0.5011,0301,0,2022-02-09T15:14:19.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,1.8916,-0.5011,0701,1,2022-02-09T15:14:19.000000Z,Active Mole
0,Test Condition 2,Mole Hit,1.8916,-0.5011,0701,0,2022-02-09T15:14:21.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-1.8916,4.2011,0305,1,2022-02-09T15:14:22.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-1.8916,4.2011,0305,0,2022-02-09T15:14:24.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:14:24.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,1.85,0503,0,2022-02-09T15:14:25.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-0.9727,-0.5011,0401,1,2022-02-09T15:14:27.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-0.9727,-0.5011,0401,0,2022-02-09T15:14:28.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,0.6139,0202,1,2022-02-09T15:14:29.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-2.706,0.6139,0202,0,2022-02-09T15:14:31.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0.9727,0.6139,0602,1,2022-02-09T15:14:31.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0.9727,0.6139,0602,0,2022-02-09T15:14:34.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-1.8916,1.85,0303,1,2022-02-09T15:14:34.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-1.8916,1.85,0303,0,2022-02-09T15:14:36.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,4.2011,0205,1,2022-02-09T15:14:36.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-2.706,4.2011,0205,0,2022-02-09T15:14:39.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,1.8916,0.6139,0702,1,2022-02-09T15:14:39.000000Z,Active Mole
0,Test Condition 2,Mole Expired,1.8916,0.6139,0702,0,2022-02-09T15:14:41.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,3.0861,0504,1,2022-02-09T15:14:41.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,3.0861,0504,0,2022-02-09T15:14:43.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,1.85,0503,1,2022-02-09T15:14:43.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,1.85,0503,0,2022-02-09T15:14:45.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0.9727,4.2011,0605,1,2022-02-09T15:14:46.000000Z,Active Mole
0,Test Condition 2,Mole Expired,0.9727,4.2011,0605,0,2022-02-09T15:14:48.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-0.9727,4.2011,0405,1,2022-02-09T15:14:48.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-0.9727,4.2011,0405,0,2022-02-09T15:14:50.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0,0.6139,0502,1,2022-02-09T15:14:51.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0,0.6139,0502,0,2022-02-09T15:14:53.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-0.9727,3.0861,0404,1,2022-02-09T15:14:53.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-0.9727,3.0861,0404,0,2022-02-09T15:14:55.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,1.8916,3.0861,0704,1,2022-02-09T15:14:55.000000Z,Active Mole
0,Test Condition 2,Mole Expired,1.8916,3.0861,0704,0,2022-02-09T15:14:58.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,1.85,0203,1,2022-02-09T15:14:58.000000Z,Active Mole
0,Test Condition 2,Mole Expired,-2.706,1.85,0203,0,2022-02-09T15:15:00.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,2.706,3.0861,0804,1,2022-02-09T15:15:00.000000Z,Active Mole
0,Test Condition 2,Mole Hit,2.706,3.0861,0804,0,2022-02-09T15:15:02.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-2.706,3.0861,0204,1,2022-02-09T15:15:03.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-2.706,3.0861,0204,0,2022-02-09T15:15:05.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0.9727,3.0861,0604,1,2022-02-09T15:15:05.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0.9727,3.0861,0604,0,2022-02-09T15:15:07.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-0.9727,1.85,0403,1,2022-02-09T15:15:07.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-0.9727,1.85,0403,0,2022-02-09T15:15:09.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,0.9727,-0.5011,0601,1,2022-02-09T15:15:10.000000Z,Active Mole
0,Test Condition 2,Mole Hit,0.9727,-0.5011,0601,0,2022-02-09T15:15:12.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-0.9727,0.6139,0402,1,2022-02-09T15:15:12.000000Z,Active Mole
0,Test Condition 2,Mole Hit,-0.9727,0.6139,0402,0,2022-02-09T15:15:14.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,2.706,1.85,0803,1,2022-02-09T15:15:15.000000Z,Active Mole
0,Test Condition 2,Mole Hit,2.706,1.85,0803,0,2022-02-09T15:15:16.000000Z,Active Mole
0,Test Condition 2,Mole Spawned,-1.8916,3.0861,0304,1,2022-02-09T15:15:17.000000Z,Active Mole
